[2018-12-23 15:45:35] [ERROR] https://dblp.uni-trier.de/db/journals/compsec/compsec70.html Exc..., try again after 10s
[2018-12-23 15:45:35] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:46:13] [ERROR] http://dblp.uni-trier.de/db/journals/dcc/ Exc..., try again after 10s
[2018-12-23 15:46:13] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:47:00] [ERROR] https://dblp.uni-trier.de/db/journals/dcc/dcc82.html Exc..., try again after 10s
[2018-12-23 15:47:00] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:47:32] [ERROR] https://dblp.uni-trier.de/db/journals/dcc/dcc82.html Exc..., try again after 10s
[2018-12-23 15:47:32] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:48:50] [ERROR] https://dblp.uni-trier.de/db/journals/dcc/dcc82.html Exc..., try again after 10s
[2018-12-23 15:48:50] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:50:25] [ERROR] https://dblp.uni-trier.de/db/journals/ijmms/ijmms115.html Exc..., try again after 10s
[2018-12-23 15:50:25] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:51:21] [ERROR] https://dblp.uni-trier.de/db/journals/ijmms/ijmms115.html Exc..., try again after 10s
[2018-12-23 15:51:21] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 15:52:26] [ERROR] https://dblp.uni-trier.de/db/journals/ijmms/ijmms107.html Exc..., try again after 10s
[2018-12-23 15:52:26] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out.
[2018-12-23 15:52:58] [ERROR] https://dblp.uni-trier.de/db/journals/ijmms/ijmms107.html Exc..., try again after 10s
[2018-12-23 15:52:58] [ERROR] HTTPSConnectionPool(host='dblp.uni-trier.de', port=443): Read timed out. (read timeout=20)
[2018-12-23 21:24:15] [INFO] pro: 1/580 ...
[2018-12-23 21:24:21] [INFO] pro: 2/580 ...
[2018-12-23 21:24:28] [INFO] pro: 3/580 ...
[2018-12-23 21:24:35] [INFO] pro: 4/580 ...
[2018-12-23 21:24:45] [INFO] pro: 5/580 ...
[2018-12-23 21:24:53] [INFO] pro: 6/580 ...
[2018-12-23 21:24:56] [INFO] pro: 7/580 ...
[2018-12-23 21:25:07] [INFO] pro: 8/580 ...
[2018-12-23 21:25:15] [INFO] pro: 9/580 ...
[2018-12-23 21:25:22] [INFO] pro: 10/580 ...
[2018-12-23 21:25:28] [INFO] pro: 11/580 ...
[2018-12-23 21:26:14] [INFO] pro: 12/580 ...
[2018-12-23 21:26:24] [INFO] pro: 13/580 ...
[2018-12-23 21:27:14] [INFO] pro: 14/580 ...
[2018-12-23 21:27:20] [INFO] pro: 15/580 ...
[2018-12-23 21:27:28] [INFO] pro: 16/580 ...
[2018-12-23 21:28:19] [INFO] pro: 17/580 ...
[2018-12-23 21:28:26] [INFO] pro: 18/580 ...
[2018-12-23 21:29:35] [INFO] pro: 19/580 ...
[2018-12-23 21:29:43] [INFO] pro: 20/580 ...
